filename,n,p,noise_sd,rho,y_mean,y_sd,num_mains,num_interactions
simulated_dataset_250_0.5_20_0.0.csv,250,20,0.5,0.0,-0.008757858887699456,2.4234153366340174,10,10
simulated_dataset_250_0.5_20_0.5.csv,250,20,0.5,0.5,-0.6674380799074322,2.1413456776320863,10,10
simulated_dataset_250_0.5_20_0.8.csv,250,20,0.5,0.8,-0.620883796569955,1.8575984069089204,10,10
simulated_dataset_250_0.5_500_0.0.csv,250,500,0.5,0.0,-0.20126609411007076,2.73027573140464,10,10
simulated_dataset_250_0.5_500_0.5.csv,250,500,0.5,0.5,-0.03628364978254513,2.6660448422555603,10,10
simulated_dataset_250_0.5_500_0.8.csv,250,500,0.5,0.8,-0.15969058670893946,1.8556146839735115,10,10
simulated_dataset_250_1.0_20_0.0.csv,250,20,1.0,0.0,-0.20047251513347625,2.961066072173819,10,10
simulated_dataset_250_1.0_20_0.5.csv,250,20,1.0,0.5,0.01661880083186861,2.8060841291822505,10,10
simulated_dataset_250_1.0_20_0.8.csv,250,20,1.0,0.8,0.24510279218065883,2.6513330926990655,10,10
simulated_dataset_250_1.0_500_0.0.csv,250,500,1.0,0.0,-0.07826199776203946,2.3794321361397395,10,10
simulated_dataset_250_1.0_500_0.5.csv,250,500,1.0,0.5,0.12680298341702895,3.423712311670183,10,10
simulated_dataset_250_1.0_500_0.8.csv,250,500,1.0,0.8,0.009368806060915233,2.217768235968221,10,10
simulated_dataset_250_2.0_20_0.0.csv,250,20,2.0,0.0,-0.12049800578900752,3.04640297159633,10,10
simulated_dataset_250_2.0_20_0.5.csv,250,20,2.0,0.5,0.0937071803554135,3.2559994280268443,10,10
simulated_dataset_250_2.0_20_0.8.csv,250,20,2.0,0.8,0.105332570064519,3.0066424282262445,10,10
simulated_dataset_250_2.0_500_0.0.csv,250,500,2.0,0.0,0.11787248748297348,3.1644462801659965,10,10
simulated_dataset_250_2.0_500_0.5.csv,250,500,2.0,0.5,-0.010392217286665598,3.192546374165779,10,10
simulated_dataset_250_2.0_500_0.8.csv,250,500,2.0,0.8,0.0845023541174614,2.814779644376999,10,10
simulated_dataset_500_0.5_20_0.0.csv,500,20,0.5,0.0,-0.041502389318548535,2.7178063533607397,10,10
simulated_dataset_500_0.5_20_0.5.csv,500,20,0.5,0.5,0.12269771138011143,2.1931645467282106,10,10
simulated_dataset_500_0.5_20_0.8.csv,500,20,0.5,0.8,0.06863117443673114,2.0966484988778404,10,10
simulated_dataset_500_0.5_500_0.0.csv,500,500,0.5,0.0,-0.1454079480164508,2.087774293602743,10,10
simulated_dataset_500_0.5_500_0.5.csv,500,500,0.5,0.5,-0.10955610552816955,2.46661117898782,10,10
simulated_dataset_500_0.5_500_0.8.csv,500,500,0.5,0.8,-0.016339844153617143,2.535605952121487,10,10
simulated_dataset_500_1.0_20_0.0.csv,500,20,1.0,0.0,-0.08100576450256736,2.142283839423516,10,10
simulated_dataset_500_1.0_20_0.5.csv,500,20,1.0,0.5,0.0870554986063072,2.380619961015495,10,10
simulated_dataset_500_1.0_20_0.8.csv,500,20,1.0,0.8,-0.37658443681957054,2.1657010282625353,10,10
simulated_dataset_500_1.0_500_0.0.csv,500,500,1.0,0.0,-0.1490174620362547,2.9482597239612067,10,10
simulated_dataset_500_1.0_500_0.5.csv,500,500,1.0,0.5,-0.1374000797742766,2.7786634534494334,10,10
simulated_dataset_500_1.0_500_0.8.csv,500,500,1.0,0.8,0.12469910930212048,2.641685996956312,10,10
simulated_dataset_500_2.0_20_0.0.csv,500,20,2.0,0.0,-0.1031054367189904,2.9090790357488183,10,10
simulated_dataset_500_2.0_20_0.5.csv,500,20,2.0,0.5,0.46224318424018335,3.1168703760092757,10,10
simulated_dataset_500_2.0_20_0.8.csv,500,20,2.0,0.8,0.004761695696929976,2.909207709072124,10,10
simulated_dataset_500_2.0_500_0.0.csv,500,500,2.0,0.0,-0.07709359592103647,3.3391150238802445,10,10
simulated_dataset_500_2.0_500_0.5.csv,500,500,2.0,0.5,0.1746058745684471,3.0797203822420745,10,10
simulated_dataset_500_2.0_500_0.8.csv,500,500,2.0,0.8,-0.2266611777917483,2.982997139785929,10,10
simulated_dataset_1000_0.5_20_0.0.csv,1000,20,0.5,0.0,0.026877847850297187,2.3521051126864445,10,10
simulated_dataset_1000_0.5_20_0.5.csv,1000,20,0.5,0.5,-0.18061764890716123,2.2899814264542067,10,10
simulated_dataset_1000_0.5_20_0.8.csv,1000,20,0.5,0.8,-1.3276533184670802,4.01224042613186,10,10
simulated_dataset_1000_0.5_500_0.0.csv,1000,500,0.5,0.0,0.0626810862275533,2.312192866979372,10,10
simulated_dataset_1000_0.5_500_0.5.csv,1000,500,0.5,0.5,0.06641400167305302,1.9757944256008655,10,10
simulated_dataset_1000_0.5_500_0.8.csv,1000,500,0.5,0.8,0.01212304940276574,2.7121136530205217,10,10
simulated_dataset_1000_1.0_20_0.0.csv,1000,20,1.0,0.0,-0.10374589460993999,2.832540883336554,10,10
simulated_dataset_1000_1.0_20_0.5.csv,1000,20,1.0,0.5,-0.45645196322363607,2.485977441415112,10,10
simulated_dataset_1000_1.0_20_0.8.csv,1000,20,1.0,0.8,-0.4448120740820895,4.259184909990948,10,10
simulated_dataset_1000_1.0_500_0.0.csv,1000,500,1.0,0.0,-0.0015782882699355695,2.5764516646463504,10,10
simulated_dataset_1000_1.0_500_0.5.csv,1000,500,1.0,0.5,-0.05443860201839796,2.255468128012401,10,10
simulated_dataset_1000_1.0_500_0.8.csv,1000,500,1.0,0.8,0.09386555234098605,1.9934321155632828,10,10
simulated_dataset_1000_2.0_20_0.0.csv,1000,20,2.0,0.0,0.03380729594129425,3.1553921948553025,10,10
simulated_dataset_1000_2.0_20_0.5.csv,1000,20,2.0,0.5,-0.3916850557417981,3.299471220603118,10,10
